frequency_Points/Hz,freqiency_test/Hz,cycles,Amplitude
2,2,5,1
3,3,5,1
4,4,5,1
5,5,5,1
6,6,5,1
7,7,5,1
8,8,5,1
9,9,5,1
10,10,5,1
